id,name
288,Enchanted Tiki Room
326,Indiana Jones Adventure
296,Jungle Cruise
689,Tarzan's Treehouse
304,Davy Crockett Explorer Canoes
297,Splash Mountain
306,The Many Adventures of Winnie the Pooh
285,Alice in Wonderland
303,Casey Jr Circus Train
275,Dumbo
307,its a small world
277,King Arthur Carrousel
278,Mad Tea Party
279,Matterhorn Bobsleds
280,Mr Toads Wild Ride
281,Peter Pans Flight
282,Pinocchios Daring Journey
687,Sleeping Beauty Castle Walkthrough
283,Snow Whites Enchanted Wish
305,Storybook Land Canal Boats
323,Big Thunder Mountain Railroad
679,Frontierland Shootin' Exposition
456,Mark Twain Riverboat
331,Pirate's Lair on Tom Sawyer Island
328,Sailing Ship Columbia
674,"Disneyland Railroad - Main Street, U.S.A."
6114,Fortune Tellers
686,Main Street Cinema
691,Main Street Vehicles
695,The Disney Gallery
690,The Disneyland Story presenting Great Moments with Mr. Lincoln
673,Chip 'n Dale Treehouse
677,Donald's Boat
324,Gadgets Go Coaster
680,Goofy's Playhouse
327,Mickey's House and Meet Mickey
684,Minnie's House
332,Roger Rabbits Car Toon Spin
325,Haunted Mansion
289,Pirates of the Caribbean
6339,Millennium Falcon Smugglers Run
6712,Star Wars: Galaxy's Edge
6340,Rise of the Resistance
287,Astro Orbitor
317,Autopia
273,Buzz Lightyear Astro Blasters
274,Disneyland Monorail
276,Finding Nemo Submarine Voyage
284,Space Mountain
286,Star Tours
2520,Star Wars Launch Bay
329,Guardians of the Galaxy Mission BREAKOUT
8843,WEB SLINGERS A Spider Man Adventure 
873,Red Car Trolley - Buena Vista Street
2608,Luigis Rollickin Roadsters 
315,Maters Junkyard Jamboree 
295,Radiator Springs Racers 
302,Grizzly River Run 
293,Redwood Creek Challenge Trail
312,Soarin Around the World 
321,Animation Academy
6440,Mickey's PhilharMagic
291,Monsters Inc Mike and Sulley to the Rescue
868,Sorcerer's Workshop
294,Turtle Talk with Crush
9006,The Bakery Tour
870,Walt Disney Imagineering Blue Sky Cellar 
7055,World of Color
9005,Games of Pixar Pier
298,Golden Zephyr 
319,Goofys Sky School 
322,Incredicoaster 
6643,Inside Out Emotional Whirlwind 
300,Jumpin Jellyfish 
310,Jessies Critter Carousel 
311,Mickey's Fun Wheel
5557,Pixar Pal A Round
301,Silly Symphony Swings
316,The Little Mermaid Ariels Undersea Adventure 
313,Toy Story Midway Mania
